阿布哈兹语 Abkhazian ab
阿尔巴尼亚语 Albanian sq
阿肯语 Akan ak
阿拉伯语 Arabic ar
阿拉贡语 Aragonese an
阿姆哈拉语 Amharic am
阿萨姆语 Assamese as
阿塞拜疆语 Azerbaijani az
阿斯图里亚斯语 Asturian ast
阿兹特克语 Central Huasteca Nahuatl nch
埃维语 Ewe ee
艾马拉语 Aymara ay
爱尔兰语 Irish ga
爱沙尼亚语 Estonian et
奥杰布瓦语 Ojibwa oj
奥克语 Occitan oc
奥里亚语 Oriya or
奥罗莫语 Oromo om
奥塞梯语 Ossetian os
巴布亚皮钦语 Tok Pisin tpi
巴什基尔语 Bashkir ba
巴斯克语 Basque eu
白俄罗斯语 Belarusian be
柏柏尔语 Berber languages ber
班巴拉语 Bambara bm
邦阿西楠语 Pangasinan pag
保加利亚语 Bulgarian bg
北萨米语 Northern Sami se
本巴语 Bemba (Zambia) bem
比林语 Blin byn
比斯拉马语 Bislama bi
俾路支语 Baluchi bal
冰岛语 Icelandic is
波兰语 Polish pl
波斯尼亚语 Bosnian bs
波斯语 Persian fa
博杰普尔语 Bhojpuri bho
布列塔尼语 Breton br
查莫罗语 Chamorro ch
查瓦卡诺语 Chavacano cbk
楚瓦什语 Chuvash cv
聪加语 Tsonga ts
鞑靼语 Tatar tt
丹麦语 Danish da
掸语 Shan shn
德顿语 Tetum tet
德语 German de
低地德语 Low German nds
低地苏格兰语 Scots sco
迪维西语 Dhivehi dv
侗语 Kam kdx
杜順語 Kadazan Dusun dtp
俄语 Russian ru
法罗语 Faroese fo
法语 French fr
梵语 Sanskrit sa
菲律宾语 Filipino fil
斐济语 Fijian fj
芬兰语 Finnish fi
弗留利语 Friulian fur
富尔语 Fur fvr
刚果语 Kongo kg
高棉语 Khmer km
格雷罗纳瓦特尔语 Guerrero Nahuatl ngu
格陵兰语 Kalaallisut kl
格鲁吉亚语 Georgian ka
格罗宁根方言 Gronings gos
古吉拉特语 Gujarati gu
瓜拉尼语 Guarani gn
哈萨克语 Kazakh kk
海地克里奥尔语 Haitian ht
韩语 Korean ko
豪萨语 Hausa ha
荷兰语 Dutch nl
黑山语 Montenegrin cnr
胡帕语 Hupa hup
基里巴斯语 Gilbertese gil
基隆迪语 Rundi rn
基切语 K'iche' quc
吉尔吉斯斯坦语 Kirghiz ky
加利西亚语 Galician gl
加泰罗尼亚语 Catalan ca
捷克语 Czech cs
卡拜尔语 Kabyle kab
卡纳达语 Kannada kn
卡努里语 Kanuri kr
卡舒比语 Kashubian csb
卡西语 Khasi kha
康沃尔语 Cornish kw
科萨语 Xhosa xh
科西嘉语 Corsican co
克里克语 Creek mus
克里米亚鞑靼语 Crimean Tatar crh
克林贡语 Klingon tlh
克罗地亚语 Serbo-Croatian hbs
克丘亚语 Quechua qu
克什米尔语 Kashmiri ks
库尔德语 Kurdish ku
拉丁语 Latin la
拉特加莱语 Latgalian ltg
拉脱维亚语 Latvian lv
老挝语 Lao lo
立陶宛语 Lithuanian lt
林堡语 Limburgish li
林加拉语 Lingala ln
卢干达语 Ganda lg
卢森堡语 Letzeburgesch lb
卢森尼亚语 Rusyn rue
卢旺达语 Kinyarwanda rw
罗马尼亚语 Romanian ro
罗曼什语 Romansh rm
罗姆语 Romany rom
逻辑语 Lojban jbo
马达加斯加语 Malagasy mg
马恩语 Manx gv
马耳他语 Maltese mt
马拉地语 Marathi mr
马拉雅拉姆语 Malayalam ml
马来语 Malay ms
马里语（俄罗斯） Mari (Russia) chm
马其顿语 Macedonian mk
马绍尔语 Marshallese mh
玛雅语 Kekchí kek
迈蒂利语 Maithili mai
毛里求斯克里奥尔语 Morisyen mfe
毛利语 Maori mi
孟加拉语 Bengali bn
缅甸语 Burmese my
苗语 Hmong hmn
姆班杜语 Umbundu umb
纳瓦霍语 Navajo nv
南非语 Afrikaans af
尼泊尔语 Nepali ne
纽埃语 Niuean niu
挪威语 Norwegian no
帕姆语 Pam pmn
帕皮阿门托语 Papiamento pap
旁遮普语 Panjabi pa
葡萄牙语 Portuguese pt
