南非荷兰语 af
阿尔巴尼亚语 sq
阿姆哈拉语 am
阿拉伯语 ar
亚美尼亚文 hy
阿萨姆语 as
艾马拉语 ay
阿塞拜疆语 az
班巴拉语 bm
巴斯克语 eu
白俄罗斯语 be
孟加拉文 bn
博杰普尔语 bho
波斯尼亚语 bs
保加利亚语 bg
加泰罗尼亚语 ca
宿务语 ceb
简体中文 zh
正體中文 zh-TW
科西嘉语 co
克罗地亚语 hr
捷克语 cs
丹麦语 da
迪维希语 dv
多格来语 doi
荷兰语 nl
英语 en
世界语 eo
爱沙尼亚语 et
埃维语 ee
菲律宾语（塔加拉语） fil
芬兰语 fi
法语 fr
弗里斯兰语 fy
加利西亚语 gl
格鲁吉亚语 ka
德语 de
希腊文 el
瓜拉尼语 gn
古吉拉特文 gu
海地克里奥尔语 ht
豪萨语 ha
夏威夷语 haw
希伯来语 he
印地语 hi
苗语 hmn
匈牙利语 hu
冰岛语 is
伊博语 ig
伊洛卡诺语 ilo
印度尼西亚语 id
爱尔兰语 ga
意大利语 it
日语 ja
爪哇语 jv
卡纳达文 kn
哈萨克语 kk
高棉语 km
卢旺达语 rw
贡根语 gom
韩语 ko
克里奥尔语 kri
库尔德语 ku
库尔德语（索拉尼） ckb
吉尔吉斯语 ky
老挝语 lo
拉丁文 la
拉脱维亚语 lv
林格拉语 ln
立陶宛语 lt
卢干达语 lg
卢森堡语 lb
马其顿语 mk
迈蒂利语 mai
马尔加什语 mg
马来语 ms
马拉雅拉姆文 ml
马耳他语 mt
毛利语 mi
马拉地语 mr
梅泰语（曼尼普尔语） mni-Mtei
米佐语 lus
蒙古文 mn
缅甸语 my
尼泊尔语 ne
挪威语 no
尼杨扎语（齐切瓦语） ny
奥里亚语（奥里亚） or
奥罗莫语 om
普什图语 ps
波斯语 fa
波兰语 pl
葡萄牙语 pt
旁遮普语 pa
克丘亚语 qu
罗马尼亚语 ro
俄语 ru
萨摩亚语 sm
梵语 sa
苏格兰盖尔语 gd
塞佩蒂语 nso
塞尔维亚语 sr
塞索托语 st
修纳语 sn
信德语 sd
僧伽罗语 si
斯洛伐克语 sk
斯洛文尼亚语 sl
索马里语 so
西班牙语 es
巽他语 su
斯瓦希里语 sw
瑞典语 sv
塔加路语（菲律宾语） tl
塔吉克语 tg
泰米尔语 ta
鞑靼语 tt
泰卢固语 te
泰语 th
蒂格尼亚语 ti
宗加语 ts
土耳其语 tr
土库曼语 tk
契维语（阿坎语） ak
乌克兰语 uk
乌尔都语 ur
维吾尔语 ug
乌兹别克语 uz
越南语 vi
威尔士语 cy
班图语 xh
意第绪语 yi
约鲁巴语 yo
祖鲁语 zu
